Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Bushtit,Psaltriparus minimus,2026-06-28T17:47:53.500000Z,28-Jun-2026,10:47:53,0.9163,4
Bushtit,Psaltriparus minimus,2026-06-28T17:47:20.500000Z,28-Jun-2026,10:47:20,0.9484,2
Bushtit,Psaltriparus minimus,2026-06-28T17:47:02.500000Z,28-Jun-2026,10:47:02,0.9618,1
Bushtit,Psaltriparus minimus,2026-06-28T17:45:56.500000Z,28-Jun-2026,10:45:56,0.918,4
Steller's Jay,Cyanocitta stelleri,2026-06-28T17:21:07Z,28-Jun-2026,10:21:07,0.9143,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T17:15:07Z,28-Jun-2026,10:15:07,0.8797,1
American Robin,Turdus migratorius,2026-06-28T17:14:58Z,28-Jun-2026,10:14:58,0.8314,1
American Robin,Turdus migratorius,2026-06-28T17:06:41.500000Z,28-Jun-2026,10:06:41,0.9281,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:57:32.500000Z,28-Jun-2026,09:57:32,0.6755,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:57:02.500000Z,28-Jun-2026,09:57:02,0.9631,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:56:37Z,28-Jun-2026,09:56:37,0.8724,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:58Z,28-Jun-2026,09:55:58,0.9307,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:41.500000Z,28-Jun-2026,09:55:41,0.9592,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:11.500000Z,28-Jun-2026,09:55:11,0.9486,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:54:28Z,28-Jun-2026,09:54:28,0.949,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:54:05.500000Z,28-Jun-2026,09:54:05,0.946,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:53:37Z,28-Jun-2026,09:53:37,0.8188,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:53:08.500000Z,28-Jun-2026,09:53:08,0.7193,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:52:34Z,28-Jun-2026,09:52:34,0.6744,1
Ring-necked Pheasant,Phasianus colchicus,2026-06-28T16:50:14.500000Z,28-Jun-2026,09:50:14,0.8837,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:48:38.500000Z,28-Jun-2026,09:48:38,0.6336,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:47:02.500000Z,28-Jun-2026,09:47:02,0.9504,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:46:32.500000Z,28-Jun-2026,09:46:32,0.6542,1
American Robin,Turdus migratorius,2026-06-28T16:37:47.500000Z,28-Jun-2026,09:37:47,0.6347,1
American Robin,Turdus migratorius,2026-06-28T16:36:50.500000Z,28-Jun-2026,09:36:50,0.8958,3
American Robin,Turdus migratorius,2026-06-28T16:35:13Z,28-Jun-2026,09:35:13,0.7712,1
American Robin,Turdus migratorius,2026-06-28T16:34:14.500000Z,28-Jun-2026,09:34:14,0.9299,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:33:55Z,28-Jun-2026,09:33:55,0.9436,1
European Starling,Sturnus vulgaris,2026-06-28T16:32:32.500000Z,28-Jun-2026,09:32:32,0.5229,1
American Robin,Turdus migratorius,2026-06-28T16:32:20.500000Z,28-Jun-2026,09:32:20,0.8358,2
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T16:19:14Z,28-Jun-2026,09:19:14,0.9133,1
American Robin,Turdus migratorius,2026-06-28T16:13:06.500000Z,28-Jun-2026,09:13:06,0.6539,1
American Robin,Turdus migratorius,2026-06-28T16:11:48.500000Z,28-Jun-2026,09:11:48,0.57,1
American Robin,Turdus migratorius,2026-06-28T16:10:03.500000Z,28-Jun-2026,09:10:03,0.8783,2
American Robin,Turdus migratorius,2026-06-28T16:03:27.500000Z,28-Jun-2026,09:03:27,0.8872,2
American Robin,Turdus migratorius,2026-06-28T16:03:14Z,28-Jun-2026,09:03:14,0.9427,3
American Robin,Turdus migratorius,2026-06-28T15:59:27.500000Z,28-Jun-2026,08:59:27,0.671,1
American Robin,Turdus migratorius,2026-06-28T15:58:48.500000Z,28-Jun-2026,08:58:48,0.9251,2
American Robin,Turdus migratorius,2026-06-28T15:58:42.500000Z,28-Jun-2026,08:58:42,0.9843,2
American Robin,Turdus migratorius,2026-06-28T15:57:14Z,28-Jun-2026,08:57:14,0.8427,2
American Crow,Corvus brachyrhynchos,2026-06-28T15:57:03.500000Z,28-Jun-2026,08:57:03,0.7695,1
American Robin,Turdus migratorius,2026-06-28T15:55:06.500000Z,28-Jun-2026,08:55:06,0.9966,3
American Robin,Turdus migratorius,2026-06-28T15:53:06.500000Z,28-Jun-2026,08:53:06,0.6438,2
Northern Flicker,Colaptes auratus,2026-06-28T15:46:26Z,28-Jun-2026,08:46:26,0.865,1
American Robin,Turdus migratorius,2026-06-28T15:44:26Z,28-Jun-2026,08:44:26,0.9798,3
American Robin,Turdus migratorius,2026-06-28T15:42:56Z,28-Jun-2026,08:42:56,0.886,1
American Robin,Turdus migratorius,2026-06-28T15:40:54.500000Z,28-Jun-2026,08:40:54,0.9214,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T15:38:06.500000Z,28-Jun-2026,08:38:06,0.9114,1
American Robin,Turdus migratorius,2026-06-28T15:28:32Z,28-Jun-2026,08:28:32,0.9537,4
American Robin,Turdus migratorius,2026-06-28T15:26:24.500000Z,28-Jun-2026,08:26:24,0.9572,3
American Robin,Turdus migratorius,2026-06-28T15:26:05Z,28-Jun-2026,08:26:05,0.9657,4
American Robin,Turdus migratorius,2026-06-28T15:25:45.500000Z,28-Jun-2026,08:25:45,0.9708,5
American Robin,Turdus migratorius,2026-06-28T15:25:08Z,28-Jun-2026,08:25:08,0.8467,4
American Robin,Turdus migratorius,2026-06-28T15:24:27.500000Z,28-Jun-2026,08:24:27,0.8436,4
American Crow,Corvus brachyrhynchos,2026-06-28T15:23:53Z,28-Jun-2026,08:23:53,0.5121,1
American Crow,Corvus brachyrhynchos,2026-06-28T15:21:57.500000Z,28-Jun-2026,08:21:57,0.9826,1
Evening Grosbeak,Coccothraustes vespertinus,2026-06-28T15:19:54.500000Z,28-Jun-2026,08:19:54,0.9481,2
American Crow,Corvus brachyrhynchos,2026-06-28T15:18:22Z,28-Jun-2026,08:18:22,0.5257,1
Cedar Waxwing,Bombycilla cedrorum,2026-06-28T15:11:40Z,28-Jun-2026,08:11:40,0.6622,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T15:08:20.500000Z,28-Jun-2026,08:08:20,0.6353,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T15:07:43Z,28-Jun-2026,08:07:43,0.7246,1
House Finch,Haemorhous mexicanus,2026-06-28T14:57:26.500000Z,28-Jun-2026,07:57:26,0.7151,2
House Finch,Haemorhous mexicanus,2026-06-28T14:57:14.500000Z,28-Jun-2026,07:57:14,0.927,1
Purple Martin,Progne subis,2026-06-28T14:50:17.500000Z,28-Jun-2026,07:50:17,0.9002,1
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T14:48:25Z,28-Jun-2026,07:48:25,0.7048,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:46:32.500000Z,28-Jun-2026,07:46:32,0.9051,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:46:14.500000Z,28-Jun-2026,07:46:14,0.906,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T14:46:11.500000Z,28-Jun-2026,07:46:11,0.9375,1
Anna's Hummingbird,Calypte anna,2026-06-28T14:45:41.500000Z,28-Jun-2026,07:45:41,0.8378,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:45:25Z,28-Jun-2026,07:45:25,0.9366,2
American Robin,Turdus migratorius,2026-06-28T14:44:11.500000Z,28-Jun-2026,07:44:11,0.6886,1
American Robin,Turdus migratorius,2026-06-28T14:41:26.500000Z,28-Jun-2026,07:41:26,0.5128,1
American Robin,Turdus migratorius,2026-06-28T14:41:10Z,28-Jun-2026,07:41:10,0.9194,4
American Robin,Turdus migratorius,2026-06-28T14:33:07Z,28-Jun-2026,07:33:07,0.6619,1
American Robin,Turdus migratorius,2026-06-28T14:32:40Z,28-Jun-2026,07:32:40,0.9085,4
American Robin,Turdus migratorius,2026-06-28T14:29:14.500000Z,28-Jun-2026,07:29:14,0.5032,1
American Robin,Turdus migratorius,2026-06-28T14:28:23.500000Z,28-Jun-2026,07:28:23,0.9089,2
American Robin,Turdus migratorius,2026-06-28T14:27:58Z,28-Jun-2026,07:27:58,0.5959,1
American Robin,Turdus migratorius,2026-06-28T14:27:32.500000Z,28-Jun-2026,07:27:32,0.765,2
American Robin,Turdus migratorius,2026-06-28T14:26:40Z,28-Jun-2026,07:26:40,0.666,1
American Robin,Turdus migratorius,2026-06-28T14:18:59Z,28-Jun-2026,07:18:59,0.8933,2
American Robin,Turdus migratorius,2026-06-28T14:18:15.500000Z,28-Jun-2026,07:18:15,0.8692,2
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T14:14:27.500000Z,28-Jun-2026,07:14:27,0.96,4
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:12:06.500000Z,28-Jun-2026,07:12:06,0.5646,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:09:23Z,28-Jun-2026,07:09:23,0.9639,1
American Robin,Turdus migratorius,2026-06-28T14:09:18.500000Z,28-Jun-2026,07:09:18,0.5481,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:08:54.500000Z,28-Jun-2026,07:08:54,0.7126,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:08:35Z,28-Jun-2026,07:08:35,0.9722,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:08:14Z,28-Jun-2026,07:08:14,0.9445,4
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:07:38Z,28-Jun-2026,07:07:38,0.9774,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:06:48.500000Z,28-Jun-2026,07:06:48,0.9158,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:06:33.500000Z,28-Jun-2026,07:06:33,0.9588,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:06:02Z,28-Jun-2026,07:06:02,0.9435,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:05:29Z,28-Jun-2026,07:05:29,0.9736,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:05:11Z,28-Jun-2026,07:05:11,0.9512,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:04:32Z,28-Jun-2026,07:04:32,0.9272,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:04:03.500000Z,28-Jun-2026,07:04:03,0.9666,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:03:33.500000Z,28-Jun-2026,07:03:33,0.9457,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:03:09.500000Z,28-Jun-2026,07:03:09,0.9796,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:02:29Z,28-Jun-2026,07:02:29,0.7526,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:02:14Z,28-Jun-2026,07:02:14,0.5686,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T14:02:03.500000Z,28-Jun-2026,07:02:03,0.9713,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T14:01:20Z,28-Jun-2026,07:01:20,0.9843,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:01:06.500000Z,28-Jun-2026,07:01:06,0.9384,3
Steller's Jay,Cyanocitta stelleri,2026-06-28T14:01:05Z,28-Jun-2026,07:01:05,0.9083,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:00:27.500000Z,28-Jun-2026,07:00:27,0.9429,4
Steller's Jay,Cyanocitta stelleri,2026-06-28T14:00:20Z,28-Jun-2026,07:00:20,0.7328,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:00:05Z,28-Jun-2026,07:00:05,0.9119,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T14:00:02Z,28-Jun-2026,07:00:02,0.9158,4
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:59:38Z,28-Jun-2026,06:59:38,0.7785,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:57:08Z,28-Jun-2026,06:57:08,0.9238,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:53:35Z,28-Jun-2026,06:53:35,0.9317,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:50:14Z,28-Jun-2026,06:50:14,0.6488,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:47:33.500000Z,28-Jun-2026,06:47:33,0.853,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:47:11Z,28-Jun-2026,06:47:11,0.9054,5
American Crow,Corvus brachyrhynchos,2026-06-28T13:47:02Z,28-Jun-2026,06:47:02,0.8241,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:44:35Z,28-Jun-2026,06:44:35,0.7359,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:43:59Z,28-Jun-2026,06:43:59,0.6665,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:42:29Z,28-Jun-2026,06:42:29,0.8975,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T13:42:18.500000Z,28-Jun-2026,06:42:18,0.8488,2
Bewick's Wren,Thryomanes bewickii,2026-06-28T13:42:12.500000Z,28-Jun-2026,06:42:12,0.5966,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:41:57.500000Z,28-Jun-2026,06:41:57,0.8217,2
Bewick's Wren,Thryomanes bewickii,2026-06-28T13:39:26Z,28-Jun-2026,06:39:26,0.5664,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:39:00.500000Z,28-Jun-2026,06:39:00,0.7185,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T13:38:45.500000Z,28-Jun-2026,06:38:45,0.8669,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:38:41Z,28-Jun-2026,06:38:41,0.9204,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:38:09.500000Z,28-Jun-2026,06:38:09,0.8024,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T13:37:18.500000Z,28-Jun-2026,06:37:18,0.7206,3
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:37:05Z,28-Jun-2026,06:37:05,0.743,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:36:32Z,28-Jun-2026,06:36:32,0.8507,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:36:15.500000Z,28-Jun-2026,06:36:15,0.87,1
Northern Rough-winged Swallow,Stelgidopteryx serripennis,2026-06-28T13:36:06.500000Z,28-Jun-2026,06:36:06,0.5418,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:35:53Z,28-Jun-2026,06:35:53,0.7807,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:35:41Z,28-Jun-2026,06:35:41,0.8415,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:34:56Z,28-Jun-2026,06:34:56,0.902,2
Dark-eyed Junco,Junco hyemalis,2026-06-28T13:34:50Z,28-Jun-2026,06:34:50,0.8346,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:34:44Z,28-Jun-2026,06:34:44,0.8529,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:31:53Z,28-Jun-2026,06:31:53,0.9165,2
American Crow,Corvus brachyrhynchos,2026-06-28T13:28:08Z,28-Jun-2026,06:28:08,0.9209,1
Caspian Tern,Hydroprogne caspia,2026-06-28T13:27:53Z,28-Jun-2026,06:27:53,0.8987,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T13:25:33.500000Z,28-Jun-2026,06:25:33,0.9131,1
American Robin,Turdus migratorius,2026-06-28T13:20:53Z,28-Jun-2026,06:20:53,0.904,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:16:23.500000Z,28-Jun-2026,06:16:23,0.532,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:05:01Z,28-Jun-2026,06:05:01,0.9597,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:04:41.500000Z,28-Jun-2026,06:04:41,0.6609,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:03:56.500000Z,28-Jun-2026,06:03:56,0.8973,1
American Crow,Corvus brachyrhynchos,2026-06-28T13:02:59.500000Z,28-Jun-2026,06:02:59,0.6483,1
American Robin,Turdus migratorius,2026-06-28T12:55:53.500000Z,28-Jun-2026,05:55:53,0.6261,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:55:19Z,28-Jun-2026,05:55:19,0.8423,1
Barn Swallow,Hirundo rustica,2026-06-28T12:53:19Z,28-Jun-2026,05:53:19,0.8745,1
American Robin,Turdus migratorius,2026-06-28T12:52:14.500000Z,28-Jun-2026,05:52:14,0.8356,1
American Robin,Turdus migratorius,2026-06-28T12:48:55Z,28-Jun-2026,05:48:55,0.5424,1
American Robin,Turdus migratorius,2026-06-28T12:48:17.500000Z,28-Jun-2026,05:48:17,0.5616,1
American Robin,Turdus migratorius,2026-06-28T12:47:58Z,28-Jun-2026,05:47:58,0.7535,1
American Robin,Turdus migratorius,2026-06-28T12:46:49Z,28-Jun-2026,05:46:49,0.8066,1
Mallard,Anas platyrhynchos,2026-06-28T12:42:01Z,28-Jun-2026,05:42:01,0.7879,1
American Crow,Corvus brachyrhynchos,2026-06-28T12:38:56.500000Z,28-Jun-2026,05:38:56,0.5996,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:38:17.500000Z,28-Jun-2026,05:38:17,0.9262,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:36:29.500000Z,28-Jun-2026,05:36:29,0.903,2
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:36:05.500000Z,28-Jun-2026,05:36:05,0.7447,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:35:38.500000Z,28-Jun-2026,05:35:38,0.8017,2
American Crow,Corvus brachyrhynchos,2026-06-28T12:34:13Z,28-Jun-2026,05:34:13,0.8943,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:34:08.500000Z,28-Jun-2026,05:34:08,0.8455,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:32:59.500000Z,28-Jun-2026,05:32:59,0.7674,1
Caspian Tern,Hydroprogne caspia,2026-06-28T12:32:47.500000Z,28-Jun-2026,05:32:47,0.9243,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T12:31:41.500000Z,28-Jun-2026,05:31:41,0.9032,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:31:29.500000Z,28-Jun-2026,05:31:29,0.6197,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T12:30:29.500000Z,28-Jun-2026,05:30:29,0.9071,3
Steller's Jay,Cyanocitta stelleri,2026-06-28T12:29:05.500000Z,28-Jun-2026,05:29:05,0.8738,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T12:27:47.500000Z,28-Jun-2026,05:27:47,0.9254,1
